year,Archery,Baseball & Softball,Basketball,Billiards & Indoor Games,Bowling,Camping,Exercise,Fishing Tackle,Football,Golf,Hockey & Ice Skates,Optics,Racquetball,Skin Diving & Scuba Gear,"Skiing, Downhill","Skiing, Cross-Country","Skiing, Snowboards",Soccer Balls,Tennis,Volleyball & Badminton Sets,Water Skis,Wheel Sports & Pogo Sticks,Team Goods
2017,382.77,415.17,427.05,678.69,267.21,1649.61,4992.21,2265.21,167.85,3716.73,258.57,992.97,105.21,438.93,657.09,116.01,347.13,146.25,508.05,110.61,139.77,581.49,2835.45
2016,372.66,404.41,422.67,660.7,260.45,1602.35,4757.14,2259.53,171.24,3680.05,252.67,965.91,104.93,431.41,644.71,114.33,338.53,141.54,502.37,108.93,137.22,607.13,2807.09
2015,356.74,400.7,383.64,629.12,240.1,1539.67,4259.54,2281.95,155.43,4240.32,222.07,904.52,89.98,435.26,614.76,99.27,322.83,132.86,459.78,93.87,122.92,843.61,2765.04
